id,title,author,old_cover,new_cover
21220,"Aap Beeti - آپ بیتی","Maulana Zakariyya Kandhelvi","https://besturdubooks.net/wp-content/uploads/2021/12/Aap-Beeti-Audio-Book.jpg","https://besturdubooks.net/wp-content/uploads/2024/07/KHAWATEEN_"
15305,"Maqam e Mahmud English","Mufti Akhtar Imam Adil Qasmi","https://besturdubooks.net/wp-content/uploads/2020/10/MAQAM_E_MAHMUD_ENGLISH.jpg","https://besturdubooks.net/wp-content/uploads/2019/11/MUHLIK_ROH"
21226,"Khawateen e Islam ke Karname By Maulana Zulfiqar Ahmad Naqshbandi خواتین اسلام کے کارنامے","Maulana Zulfiqar Ahmad Naqshbandi","https://besturdubooks.net/wp-content/uploads/2024/07/KHAWATEEN_E_ISLAM_K_KARNAME.jpg","https://besturdubooks.net/wp-content/uploads/2016/05/khutbaat-e"
21238,"Muhlik Roohani Amraz","Maulana Zulfiqar Ahmad Naqshbandi","https://besturdubooks.net/wp-content/uploads/2019/11/MUHLIK_ROHANI_AMRAZ.jpg","https://besturdubooks.net/wp-content/uploads/2020/12/ZAMANA_E_T"
21257,"Khutbaat e Faqeer - خطبات فقیر","Maulana Zulfiqar Ahmad Naqshbandi","https://besturdubooks.net/wp-content/uploads/2016/05/khutbaat-e-faqeer.jpg","https://besturdubooks.net/wp-content/uploads/2013/12/Muhabbat-e"
21237,"Zamana e Talib e Ilmi Kaise Guzarein? - زمانہ طالب علمی کیسے گذاریں؟","Maulana Zulfiqar Ahmad Naqshbandi","https://besturdubooks.net/wp-content/uploads/2020/12/ZAMANA_E_TALIB_E_ILMI_KAISE_GUZAREIN.jpg","https://besturdubooks.net/wp-content/uploads/2016/04/ibaraat-e-"
15258,"Muhabbat e Ilahi - محبت الہی","Maulana Zulfiqar Ahmad Naqshbandi","https://besturdubooks.net/wp-content/uploads/2013/12/Muhabbat-e-Ilahi.jpg","https://besturdubooks.net/wp-content/uploads/2014/02/boltay-naq"
16288,"Ibaraat e Akabir عبارات اکابر","Maulana Sarfaraz Khan Safdar","https://besturdubooks.net/wp-content/uploads/2016/04/ibaraat-e-akabir.jpg","https://besturdubooks.net/wp-content/uploads/2024/12/DIGITAL_TA"
14988,"Boltay Naqshay - بولتے نقشے","Mufti Abu Lubaba Shah Mansoor","https://besturdubooks.net/wp-content/uploads/2014/02/boltay-naqshay.jpg","https://besturdubooks.net/wp-content/uploads/2020/11/NAQSHBANDI"
21294,"Digital Tasweer ki Haqiqat aur Ahkam By Mufti Akhtar Imam Adil ڈیجیٹل تصویر کی حقیقت اور احکام از مولانا مفتی اختر امام عادل قاسمی صاحب","Mufti Akhtar Imam Adil Qasmi","https://besturdubooks.net/wp-content/uploads/2024/12/DIGITAL_TASWIR_KI_HAQEEQAT_AUR_AHKAM-1.jpg","https://besturdubooks.net/wp-content/uploads/2020/11/SHYKH_AHMA"
